,station,date,pm25,latitude,longitude,pm25_xgb,pm25_rf,pm25_lgbm
59,DKJ17 Jl. DI Panjaitan,2025-03-06,48.6325,-6.23333,106.87659,35.027935,35.46462422900729,35.07690740993165
60,DKJ18 Jl. Fatmawati,2025-03-06,46.093333333333334,-6.27947,106.79739,39.037872,37.73698012775845,35.533541140792025
61,DKJ18 Jl. Fatmawati,2025-03-06,46.093333333333334,-6.27947,106.79739,39.028137,37.65464982456631,35.603583156705994
62,DKJ19 Jl. Pasar Minggu,2025-03-06,56.15958333333333,-6.27755,106.8426,34.97611,33.98024314456516,33.17505489199235
63,DKJ19 Jl. Pasar Minggu,2025-03-06,56.15958333333333,-6.27755,106.8426,35.14751,33.99909477657742,33.4969998036775
64,DKJ20 Kelapa Gading (SPKU),2025-03-06,32.38458333333333,-6.15405,106.91052,32.231655,34.7442481885373,33.30258469950269
65,DKJ20 Kelapa Gading (SPKU),2025-03-06,32.38458333333333,-6.15405,106.91052,32.231655,34.7442481885373,33.30258469950269
66,DKJ20 Kelapa Gading (SPKU),2025-03-06,32.38458333333333,-6.15405,106.91052,32.177357,34.8176968518222,32.615774707592024
67,DKJ20 Kelapa Gading (SPKU),2025-03-06,32.38458333333333,-6.15405,106.91052,32.177357,34.8176968518222,32.615774707592024
68,DKJ21 Kota Tua,2025-03-06,30.625416666666666,-6.13451,106.81322,29.138899,29.795254293309984,29.480711120524152
69,DKJ21 Kota Tua,2025-03-06,30.625416666666666,-6.13451,106.81322,29.138899,29.795254293309984,29.480711120524152
70,DKJ21 Kota Tua,2025-03-06,30.625416666666666,-6.13451,106.81322,29.216557,29.935570865604834,29.7050708390518
71,DKJ21 Kota Tua,2025-03-06,30.625416666666666,-6.13451,106.81322,29.216557,29.935570865604834,29.7050708390518
72,DKJ22 PT JIEP Pulogadung,2025-03-06,45.010416666666664,-6.20666,106.91967,37.99088,35.867672963672206,36.985270872911904
73,DKJ22 PT JIEP Pulogadung,2025-03-06,45.010416666666664,-6.20666,106.91967,38.000847,35.82593573358323,37.038255142858695
74,DKJ23 Pulau Pramuka,2025-03-06,2.3120833333333333,-5.74585,106.61384,3.7643373,8.919114270485613,4.210080289926335
75,DKJ23 Pulau Pramuka,2025-03-06,2.3120833333333333,-5.74585,106.61384,3.7643373,8.919114270485613,4.210080289926335
76,DKJ23 Pulau Pramuka,2025-03-06,2.3120833333333333,-5.74585,106.61384,3.7643373,8.879421290687633,4.210080289926335
